0,379
0,604
0,685
0,260
0,252
0,860
0,378
0,485
0,825
0,607
0,527
0,318
0,717
0,451
0,081
0,824
0,849
0,536
0,985
0,688
0,801
0,628
0,034
0,637
0,972
0,041
0,012
0,490
0,069
0,818
0,104
0,933
0,518
0,142
0,724
0,063
0,102
0,343
0,400
0,184
0,637
0,599
0,486
0,240
0,536
0,611
0,536
0,031
0,797
0,907
0,928
0,162
0,926
0,707
0,707
0,088
0,316
0,371
0,247
0,990
0,326
0,681
0,585
0,337
0,347
0,085
0,375
0,774
0,406
0,609
0,598
0,290
0,068
0,307
0,681
0,376
0,093
0,283
0,621
0,944
0,304
0,241
0,531
0,854
0,365
0,191
0,052
0,812
0,163
0,327
0,780
0,890
0,494
0,781
0,443
0,190
0,455
0,833
0,835
0,892
